i,cx,cy,jac_nx_raw,jac_ny_raw,jac_nx,jac_ny,sdf_nx,sdf_ny,dot,angle_deg
83,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
84,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
85,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
86,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
87,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
88,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
89,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
90,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
91,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
92,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
93,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
94,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
95,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
96,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
97,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
98,0.060000000000000005,0,0.80681892987085568,0,0.99999999999876055,0,1,0,0.99999999999876055,9.020957963195691e-05
